,First_pokemon,Second_pokemon,Winner
13117,479,357,479
13118,7,708,7
13119,88,254,88
13120,475,108,475
13121,287,381,381
13122,709,483,483
13123,262,589,589
13124,218,369,369
13125,160,519,160
13126,476,182,182
13127,319,334,319
13128,311,220,311
13129,690,157,157
13130,358,55,55
13131,640,682,640
13132,5,204,5
13133,457,703,457
13134,480,488,480
13135,719,410,719
13136,501,547,547
13137,692,119,119
13138,156,687,156
13139,328,129,328
13140,538,584,584
13141,503,475,475
13142,378,601,601
13143,228,425,425
13144,464,641,641
13145,531,688,688
13146,420,567,567
13147,46,458,458
13148,479,291,291
13149,129,246,246
13150,509,418,418
13151,242,648,648
13152,531,367,367
13153,663,491,663
13154,347,498,347
13155,624,33,33
13156,426,508,508
13157,542,454,542
13158,672,156,156
13159,642,669,642
13160,475,150,150
13161,602,703,602
13162,487,303,303
13163,623,43,623
13164,150,18,150
13165,425,252,252
13166,266,288,288
13167,515,623,623
13168,247,608,608
13169,66,36,36
13170,671,711,671
13171,454,120,120
13172,291,80,291
13173,276,235,276
13174,289,356,356
13175,475,284,475
13176,165,72,72
13177,273,650,650
13178,311,400,311
13179,708,694,694
13180,413,65,413
13181,101,610,101
13182,295,337,337
13183,17,640,640
13184,376,360,376
13185,287,199,199
13186,391,673,391
13187,504,142,142
13188,701,252,701
13189,392,381,381
13190,125,595,125
13191,140,547,547
13192,15,37,15
13193,678,81,678
13194,65,544,65
13195,426,282,282
13196,280,645,645
13197,620,389,620
13198,43,331,331
13199,642,435,642
13200,479,150,150
13201,125,182,125
13202,428,504,428
13203,116,128,128
13204,466,286,466
13205,301,666,666
13206,652,232,652
13207,195,443,443
13208,237,363,237
13209,307,164,164
13210,678,568,678
13211,713,558,558
13212,304,579,579
13213,652,196,196
13214,390,717,717
13215,303,101,101
13216,345,549,549
13217,186,479,479
13218,458,1,458
13219,446,194,446
13220,319,449,319
13221,79,519,519
13222,291,115,291
13223,91,400,400
13224,689,335,335
13225,124,81,124
13226,475,162,475
13227,533,424,424
13228,325,174,325
13229,386,530,530
13230,352,303,303
13231,214,358,214
13232,413,443,443
13233,652,70,652
13234,635,6,6
13235,616,580,580
13236,196,266,196
13237,370,485,370
13238,633,468,468
13239,76,409,409
13240,421,358,421
13241,247,9,9
13242,213,492,492
13243,409,220,409
13244,258,16,16
13245,635,286,635
13246,628,288,288
13247,77,256,77
13248,475,310,310
13249,702,72,702
13250,189,497,497
13251,448,691,448
13252,532,541,541
13253,516,51,51
13254,619,362,362
13255,510,719,510
13256,501,604,604
13257,441,344,441
13258,691,382,382
13259,577,47,47
13260,262,357,262
13261,130,87,130
13262,10,678,678
13263,280,128,128
13264,595,41,595
13265,629,267,267
13266,588,170,170
13267,674,303,303
13268,386,325,386
13269,717,527,717
13270,182,373,373
13271,67,99,99
13272,534,673,673
13273,255,503,503
13274,696,335,335
13275,352,530,530
13276,303,415,303
13277,266,54,54
13278,621,386,386
13279,703,307,307
13280,362,62,362
13281,296,367,367
13282,164,701,701
13283,394,171,171
13284,264,106,264
13285,130,548,130
13286,437,657,657
13287,549,344,549
13288,677,252,252
13289,441,539,441
13290,5,631,5
13291,681,362,362
13292,487,577,487
13293,652,547,547
13294,675,662,662
13295,112,201,201
13296,626,689,689
13297,522,524,522
13298,6,31,6
13299,697,642,642
13300,515,129,129
13301,531,141,141
13302,212,69,212
13303,410,57,57
13304,172,315,315
13305,177,325,177
13306,58,694,694
13307,149,169,169
13308,69,310,310
13309,118,277,277
13310,589,145,589
13311,455,211,211
13312,361,526,526
13313,131,38,38
13314,384,247,384
13315,159,413,159
13316,315,299,315
13317,513,77,77
13318,595,262,262
13319,12,589,589
13320,641,51,641
13321,551,502,551
13322,83,631,631
13323,124,670,124
13324,488,112,112
13325,508,502,508
13326,48,333,333
13327,518,185,185
13328,306,459,306
13329,292,277,277
13330,386,386,386
13331,26,11,26
13332,259,479,479
13333,127,641,641
13334,17,589,589
13335,540,553,553
13336,711,42,42
13337,2,664,2
13338,570,517,570
13339,241,691,241
13340,703,481,481
13341,588,445,445
13342,643,702,702
13343,199,404,404
13344,578,259,259
13345,178,327,178
13346,687,614,687
13347,529,719,529
13348,302,435,435
13349,49,364,49
13350,438,319,319
13351,235,336,235
13352,386,529,386
13353,681,374,681
13354,596,580,596
13355,407,374,407
13356,535,78,78
13357,673,597,673
13358,19,105,19
13359,435,328,328
13360,94,700,94
13361,400,10,400
13362,711,255,711
13363,311,261,311
13364,405,687,687
13365,83,443,83
13366,240,572,240
13367,178,166,178
13368,298,427,427
13369,571,417,571
13370,181,432,432
13371,148,507,148
13372,469,68,469
13373,562,76,76
13374,699,125,125
13375,428,373,428
13376,357,445,357
13377,315,229,229
13378,362,68,362
13379,490,590,490
13380,570,94,94
13381,462,544,462
13382,451,18,18
13383,397,649,649
13384,645,70,645
13385,523,301,523
13386,435,668,668
13387,162,90,162
13388,323,453,323
13389,353,680,680
13390,394,484,484
13391,218,411,411
13392,643,83,643
13393,325,255,325
13394,648,617,617
13395,39,327,327
13396,425,516,516
13397,609,16,16
13398,497,244,497
13399,122,416,416
13400,335,282,282
13401,583,126,126
13402,479,100,100
13403,212,518,212
13404,635,604,635
13405,465,100,465
13406,208,355,208
13407,105,236,105
13408,551,465,551
13409,333,122,122
13410,598,692,598
13411,110,114,114
13412,237,531,237
13413,244,312,244
13414,413,334,334
13415,215,436,215
13416,488,565,488
13417,719,95,719
13418,508,471,508
13419,711,303,711
13420,254,211,254
13421,62,437,62
13422,370,719,719
13423,576,115,115
13424,184,713,184
13425,364,87,87
13426,455,103,103
13427,348,676,676
13428,563,388,388
13429,3,3,3
13430,389,470,470
13431,21,289,289
13432,357,370,357
13433,700,306,700
13434,18,484,18
13435,642,640,640
13436,177,109,177
13437,403,647,647
13438,73,340,73
13439,645,559,645
13440,72,466,466
13441,81,248,248
13442,13,114,114
13443,136,440,136
13444,507,707,707
13445,134,432,432
13446,407,642,642
13447,474,562,562
13448,700,298,700
13449,163,350,350
13450,710,229,229
13451,625,318,625
13452,78,437,78
13453,684,698,684
13454,36,294,36
13455,352,140,140
13456,528,178,528
13457,451,710,451
13458,479,296,479
13459,325,681,681
13460,350,175,350
13461,446,225,446
13462,212,637,637
13463,389,126,126
13464,502,134,134
13465,158,614,614
13466,505,627,505
13467,6,570,6
13468,342,210,342
13469,353,253,253
13470,635,484,484
13471,237,547,547
13472,252,195,252
13473,711,456,711
13474,676,77,676
13475,580,443,580
13476,126,167,126
13477,346,480,480
13478,665,214,214
13479,687,232,687
13480,509,108,509
13481,497,341,497
13482,361,545,545
13483,121,303,121
13484,96,206,206
13485,134,429,429
13486,223,286,286
13487,678,458,678
13488,554,18,18
13489,212,328,212
13490,608,314,314
13491,95,483,483
13492,70,228,228
13493,19,291,291
13494,545,498,545
13495,531,489,489
13496,464,479,464
13497,202,324,202
13498,78,632,632
13499,418,291,291
13500,368,643,643
13501,381,712,381
13502,290,183,183
13503,184,394,394
13504,558,647,647
13505,448,424,424
13506,325,576,576
13507,490,51,51
13508,694,696,694
13509,711,583,711
13510,642,493,493
13511,220,382,382
13512,634,414,414
13513,683,554,554
13514,124,91,124
13515,478,162,162
13516,269,228,228
13517,693,413,693
13518,377,115,115
13519,445,135,135
13520,571,406,571
13521,260,346,260
13522,711,613,711
13523,228,133,228
13524,156,273,156
13525,535,24,24
13526,697,161,697
13527,605,115,115
13528,535,637,637
13529,530,402,530
13530,711,219,711
13531,471,346,471
13532,308,65,65
13533,337,268,337
13534,541,150,150
13535,143,515,143
13536,705,23,705
13537,329,385,385
13538,609,103,609
13539,373,279,373
13540,142,190,142
13541,223,127,127
13542,383,207,383
13543,713,699,699
13544,159,538,159
13545,89,339,339
13546,43,391,391
13547,606,253,253
13548,667,290,667
13549,479,629,479
13550,114,469,469
13551,79,669,79
13552,621,142,142
13553,479,363,479
13554,266,111,111
13555,368,209,368
13556,115,33,115
13557,711,474,474
13558,573,214,573
13559,143,360,143
13560,445,503,445
13561,387,402,402
13562,209,25,25
13563,568,617,617
13564,81,369,369
13565,290,428,428
13566,6,114,6
13567,673,633,673
13568,560,644,644
13569,176,492,492
13570,24,483,483
13571,332,557,557
13572,610,140,610
13573,159,630,630
13574,518,186,186
13575,327,649,649
13576,52,340,52
13577,165,282,282
13578,597,466,466
13579,622,115,115
13580,279,470,470
13581,89,6,6
13582,15,278,278
13583,260,282,282
13584,139,395,395
13585,710,49,49
13586,494,298,494
13587,375,130,130
13588,417,262,417
13589,645,100,645
13590,308,321,308
13591,481,110,481
13592,203,481,203
13593,47,177,177
13594,228,424,424
13595,176,661,661
13596,333,531,531
13597,710,647,647
13598,683,412,412
13599,394,628,628
13600,471,548,471
13601,333,653,653
13602,710,610,610
13603,19,566,19
13604,399,473,473
13605,512,687,512
13606,579,207,207
13607,246,668,668
13608,36,303,36
13609,343,318,318
13610,34,672,34
13611,265,460,460
13612,248,589,248
13613,15,194,15
13614,329,611,329
13615,520,87,87
13616,518,381,381
13617,369,127,127
13618,220,567,567
13619,129,262,262
13620,710,229,229
13621,618,391,391
13622,479,672,479
13623,435,618,435
13624,494,335,494
13625,470,63,470
13626,475,629,629
13627,520,479,479
13628,518,395,395
13629,70,342,342
13630,441,46,441
13631,492,108,492
13632,650,479,479
13633,173,660,660
13634,678,130,678
13635,280,443,443
13636,29,141,141
13637,238,407,407
13638,185,706,706
13639,683,489,489
13640,190,622,622
13641,171,663,171
13642,291,365,291
13643,623,551,551
13644,86,460,460
13645,618,596,596
13646,170,613,170
13647,7,638,638
13648,690,711,711
13649,114,48,114
13650,531,303,303
13651,222,486,486
13652,50,485,50
13653,380,587,380
13654,218,138,138
13655,177,641,641
13656,384,473,384
13657,138,14,14
13658,156,175,156
13659,466,719,719
13660,615,337,615
13661,291,167,291
13662,159,307,307
13663,191,668,668
13664,557,484,484
13665,127,622,622
13666,157,104,157
13667,30,3,3
13668,293,284,284
13669,49,477,49
13670,41,621,41
13671,134,435,435
13672,451,259,451
13673,363,594,594
13674,463,144,144
13675,21,602,21
13676,647,302,302
13677,441,293,441
13678,178,151,151
13679,65,89,65
13680,288,411,288
13681,385,558,385
13682,385,36,385
13683,176,444,176
13684,150,479,479
13685,68,559,68
13686,583,146,146
13687,653,87,87
13688,178,429,429
13689,123,342,123
13690,235,399,235
13691,371,428,428
13692,590,335,335
13693,528,634,634
13694,323,710,710
13695,309,152,309
13696,89,51,51
13697,641,359,359
13698,504,358,358
13699,339,694,694
13700,568,99,99
13701,358,89,358
13702,622,79,622
13703,354,612,612
13704,578,395,395
13705,616,239,239
13706,332,348,332
13707,428,552,428
13708,630,213,630
13709,18,89,18
13710,229,618,229
13711,435,411,435
13712,474,73,73
13713,565,422,422
13714,536,72,72
13715,76,624,624
13716,178,120,178
13717,609,122,122
13718,308,508,308
13719,284,400,400
13720,645,2,645
13721,162,359,359
13722,57,640,640
13723,36,351,351
13724,337,563,337
13725,245,29,245
13726,38,214,38
13727,362,124,362
13728,21,306,306
13729,479,549,549
13730,610,559,610
13731,456,484,484
13732,613,558,558
13733,218,583,583
13734,125,322,125
13735,334,323,334
13736,141,711,711
13737,127,341,127
13738,518,709,709
13739,334,315,334
13740,87,190,190
13741,709,222,709
13742,120,709,120
13743,586,382,586
13744,75,93,75
13745,711,224,711
13746,411,407,411
13747,389,202,389
13748,229,130,229
13749,645,337,645
13750,475,582,475
13751,66,8,8
13752,561,648,648
13753,381,222,381
13754,253,323,323
13755,34,705,34
13756,475,713,475
13757,10,54,54
13758,532,61,61
13759,338,511,338
13760,625,276,276
13761,567,419,419
13762,694,519,694
13763,135,178,135
13764,657,18,18
13765,465,709,709
13766,87,349,349
13767,533,583,583
13768,678,15,678
13769,161,330,330
13770,122,208,208
13771,362,169,169
13772,74,477,477
13773,465,44,465
13774,239,255,239
13775,341,129,341
13776,133,334,334
13777,367,199,367
13778,248,479,479
13779,62,35,62
13780,212,675,212
13781,207,283,207
13782,398,351,398
13783,165,492,492
13784,359,651,359
13785,50,660,50
13786,306,292,292
13787,25,413,25
13788,303,589,303
13789,547,644,547
13790,568,601,601
13791,284,678,678
13792,336,607,336
13793,318,432,432
13794,229,214,229
13795,422,689,689
13796,603,248,248
13797,479,173,479
13798,186,162,162
13799,213,265,265
13800,237,660,660
13801,323,522,522
13802,683,568,568
13803,519,702,702
13804,717,519,717
13805,696,72,72
13806,341,162,162
13807,573,20,573
13808,711,609,609
13809,46,656,656
13810,56,607,607
13811,514,710,514
13812,712,38,38
13813,265,253,253
13814,540,641,641
13815,536,96,536
13816,51,138,51
13817,9,530,530
13818,174,402,402
13819,97,490,490
13820,203,109,203
13821,440,588,588
13822,701,96,701
13823,518,329,329
13824,1,622,1
13825,429,72,429
13826,463,413,463
13827,241,55,241
13828,109,554,554
13829,56,411,56
13830,363,571,571
13831,487,677,487
13832,173,376,376
13833,283,710,710
13834,38,519,38
13835,691,612,612
13836,262,276,276
13837,363,371,371
13838,420,6,6
13839,213,255,255
13840,191,364,364
13841,216,568,568
13842,158,218,158
13843,341,73,73
13844,652,379,652
13845,306,629,629
13846,565,145,145
13847,648,146,146
13848,315,373,373
13849,257,198,198
13850,383,414,383
13851,147,493,493
13852,380,214,380
13853,558,609,609
13854,359,344,344
13855,209,311,311
13856,716,475,475
13857,623,711,711
13858,213,165,165
13859,23,392,392
13860,33,451,451
13861,461,189,461
13862,238,115,115
13863,469,698,469
13864,721,595,721
13865,643,564,643
13866,133,127,127
13867,8,287,8
13868,62,314,314
13869,697,78,78
13870,171,525,171
13871,109,638,638
13872,238,231,238
13873,206,88,206
13874,59,476,59
13875,251,698,251
13876,448,607,607
13877,259,41,41
13878,712,280,280
13879,172,594,594
13880,84,533,84
13881,128,479,128
13882,604,705,705
13883,53,92,92
13884,353,721,721
13885,37,595,595
13886,428,88,428
13887,221,483,483
13888,159,244,244
13889,78,173,78
13890,143,322,322
13891,225,373,373
13892,257,52,257
13893,117,676,676
13894,195,286,286
13895,516,648,516
13896,604,84,84
13897,602,475,475
13898,121,109,121
13899,583,248,248
13900,29,662,662
13901,628,479,479
13902,26,343,343
13903,299,222,222
13904,471,561,561
13905,643,322,643
13906,711,298,298
13907,227,688,227
13908,150,338,150
13909,354,183,354
13910,577,174,577
13911,67,271,271
13912,78,521,78
13913,576,174,576
13914,444,52,52
13915,47,478,478
13916,35,489,489
13917,484,310,310
13918,520,354,354
13919,365,126,126
13920,320,182,320
13921,632,505,632
13922,493,303,493
13923,536,479,479
13924,163,169,169
13925,545,530,530
13926,124,687,124
13927,150,119,150
13928,703,485,485
13929,710,323,710
13930,569,542,542
13931,130,271,130
13932,459,628,628
13933,592,223,223
13934,557,566,566
13935,191,389,389
13936,598,180,598
13937,248,628,628
13938,624,326,624
13939,573,385,573
13940,167,19,19
13941,507,427,427
13942,65,650,65
13943,558,385,385
13944,90,634,634
13945,398,35,398
13946,361,683,361
13947,37,614,37
13948,446,607,607
13949,392,127,392
13950,689,574,689
13951,268,395,395
13952,343,150,150
13953,628,689,628
13954,44,262,262
13955,377,699,699
13956,668,55,668
13957,110,4,4
13958,185,331,331
13959,203,716,716
13960,68,371,68
13961,498,647,647
13962,580,123,123
13963,681,354,354
13964,422,698,698
13965,694,627,694
13966,92,383,383
13967,376,283,376
13968,572,498,572
13969,522,231,231
13970,386,698,386
13971,693,19,19
13972,543,710,543
13973,490,166,490
13974,632,640,632
13975,21,323,21
13976,127,321,127
13977,66,274,274
13978,515,379,515
13979,675,534,675
13980,479,699,479
13981,679,234,234
13982,610,687,687
13983,364,247,247
13984,483,534,483
13985,59,618,59
13986,354,476,354
13987,207,594,207
13988,116,331,331
13989,376,2,376
13990,334,181,334
13991,366,6,6
13992,528,363,528
13993,471,427,427
13994,380,62,380
13995,681,622,681
13996,150,662,150
13997,67,444,444
13998,341,289,289
13999,528,306,306
14000,70,484,484
14001,95,260,260
14002,554,547,554
14003,150,393,150
14004,269,171,171
14005,683,363,683
14006,448,108,448
14007,668,241,668
14008,162,121,121
14009,624,419,419
14010,247,458,458
14011,2,561,561
14012,202,251,251
14013,685,352,685
14014,87,443,87
14015,259,167,259
14016,94,689,94
14017,72,711,711
14018,254,213,254
14019,606,249,249
14020,649,236,649
14021,127,479,479
14022,642,471,642
14023,166,690,690
14024,177,678,678
14025,565,493,493
14026,363,443,443
14027,59,274,59
14028,673,108,673
14029,693,525,693
14030,109,644,644
14031,49,517,49
14032,647,161,647
14033,9,487,487
14034,505,392,392
14035,582,572,572
14036,452,719,452
14037,58,721,721
14038,479,601,601
14039,88,392,392
14040,7,473,473
14041,126,169,169
14042,400,285,400
14043,50,613,613
14044,267,254,254
14045,649,250,649
14046,193,265,193
14047,519,697,697
14048,530,397,530
14049,274,469,469
14050,221,69,221
14051,119,3,3
14052,256,440,256
14053,403,370,403
14054,463,479,479
14055,45,91,91
14056,534,105,105
14057,65,715,65
14058,93,42,93
14059,174,117,117
14060,85,435,85
14061,373,710,373
14062,6,308,6
14063,12,616,12
14064,52,117,52
14065,479,507,479
14066,319,501,319
14067,599,61,61
14068,540,516,516
14069,252,360,252
14070,714,87,87
14071,83,238,238
14072,26,349,26
14073,466,591,466
14074,110,370,370
14075,531,25,25
14076,291,323,291
14077,533,679,679
14078,615,680,680
14079,712,29,29
14080,98,327,327
14081,587,247,587
14082,337,110,337
14083,532,127,127
14084,502,238,238
14085,20,156,20
14086,208,312,208
14087,278,191,278
14088,526,374,374
14089,688,244,244
14090,693,142,142
14091,570,295,295
14092,313,331,313
14093,480,371,480
14094,502,303,502
14095,693,110,110
14096,422,710,710
14097,408,590,408
14098,623,81,623
14099,64,531,64
14100,628,711,711
14101,635,77,635
14102,386,585,386
14103,479,108,108
14104,247,539,539
14105,63,440,63
14106,375,575,575
14107,543,448,448
14108,102,216,216
14109,387,441,441
14110,316,68,68
14111,440,63,63
14112,414,102,414
14113,181,343,343
14114,615,387,615
14115,480,589,589
14116,178,225,178
14117,367,596,596
14118,204,444,444
14119,107,211,211
14120,690,313,313
14121,327,86,327
14122,510,689,510
14123,656,8,656
14124,680,373,373
14125,391,200,200
14126,126,129,126
14127,631,342,631
14128,697,233,697
14129,101,300,101
14130,343,150,150
14131,707,543,707
14132,245,154,245
14133,336,575,336
14134,571,614,571
14135,683,50,683
14136,664,639,639
14137,336,9,9
14138,321,384,384
14139,621,262,262
14140,578,479,479
14141,233,384,384
14142,492,711,492
14143,655,255,655
14144,23,417,417
14145,330,610,330
14146,647,711,647
14147,692,324,692
14148,715,106,715
14149,543,262,262
14150,620,598,620
14151,339,519,519
14152,406,3,3
14153,440,447,447
14154,45,179,45
14155,106,500,106
14156,406,231,406
14157,39,380,380
14158,633,263,263
14159,100,630,100
14160,681,596,596
14161,264,158,264
14162,545,392,545
14163,547,504,547
14164,44,184,184
14165,436,142,142
14166,348,474,474
14167,537,673,537
14168,248,97,248
14169,611,604,611
14170,641,340,641
14171,53,391,53
14172,525,571,571
14173,370,431,370
14174,113,235,235
14175,465,394,394
14176,543,15,15
14177,352,530,530
14178,382,485,382
14179,674,533,674
14180,362,266,362
14181,634,618,634
14182,277,477,477
14183,323,572,572
14184,95,559,95
14185,717,713,717
14186,6,129,6
14187,214,293,214
14188,152,524,152
14189,252,647,647
14190,470,72,470
14191,134,479,479
14192,425,441,441
14193,665,530,530
14194,94,282,94
14195,472,406,472
14196,225,209,225
14197,428,502,428
14198,397,179,397
14199,15,453,15
14200,105,398,398
14201,428,114,428
14202,395,386,386
14203,482,303,482
14204,113,152,113
14205,129,381,381
14206,635,707,707
14207,81,306,306
14208,151,24,151
14209,399,308,308
14210,487,113,113
14211,707,522,522
14212,444,270,444
14213,394,182,182
14214,575,615,615
14215,358,577,358
14216,12,404,12
14217,94,357,94
14218,304,65,304
14219,309,130,130
14220,462,287,462
14221,527,613,527
14222,386,198,198
14223,114,479,479
14224,613,474,474
14225,533,282,282
14226,7,321,321
14227,670,141,141
14228,130,413,130
14229,393,461,461
14230,282,11,282
14231,324,65,324
14232,150,617,617
14233,635,192,635
14234,634,45,634
14235,227,673,227
14236,315,322,322
14237,690,83,83
14238,407,517,407
14239,627,150,150
14240,641,121,641
14241,147,683,683
14242,118,540,118
14243,448,64,448
14244,188,499,188
14245,520,310,310
14246,359,712,359
14247,653,81,653
14248,644,291,644
14249,555,7,555
14250,335,326,335
14251,39,459,459
14252,641,321,641
14253,523,459,523
14254,306,614,614
14255,479,227,479
14256,173,6,6
14257,703,379,379
14258,322,169,169
14259,104,49,49
14260,608,341,608
14261,601,474,474
14262,691,379,379
14263,721,210,721
14264,652,612,612
14265,235,449,449
14266,497,47,47
14267,500,295,295
14268,631,85,85
14269,145,384,384
14270,157,175,157
14271,11,494,494
14272,3,158,3
14273,227,9,9
14274,484,444,484
14275,144,505,144
14276,296,345,296
14277,686,516,516
14278,86,122,122
14279,173,35,35
14280,635,471,635
14281,94,495,94
14282,299,527,527
14283,43,384,384
14284,89,299,89
14285,386,101,101
14286,6,296,6
14287,439,88,88
14288,404,323,404
14289,272,123,123
14290,108,462,462
14291,523,225,523
14292,184,259,259
14293,383,310,310
14294,239,664,239
14295,99,428,428
14296,590,387,387
14297,675,576,576
14298,14,308,308
14299,461,287,461
14300,216,294,294
14301,88,710,710
14302,99,441,441
14303,586,23,586
14304,555,353,555
14305,548,117,117
14306,493,619,493
14307,247,660,660
14308,315,656,656
14309,609,672,609
14310,69,333,333
14311,211,499,211
14312,711,2,711
14313,565,525,565
14314,99,48,99
14315,228,638,638
14316,291,106,291
14317,479,262,262
14318,513,349,349
14319,698,266,698
14320,621,218,621
14321,194,261,261
14322,215,533,533
14323,610,139,610
14324,145,43,145
14325,105,185,105
14326,65,575,65
14327,541,15,15
14328,42,149,42
14329,266,29,29
14330,570,21,21
14331,522,24,24
14332,641,568,641
14333,176,337,337
14334,467,202,467
14335,563,46,563
14336,685,406,685
14337,452,309,452
14338,115,554,115
14339,259,340,340
14340,698,648,648
14341,488,380,380
14342,565,371,371
14343,169,87,169
14344,163,483,483
14345,437,256,256
14346,396,517,396
14347,456,108,456
14348,664,307,307
14349,110,118,118
14350,413,563,413
14351,116,418,418
14352,152,489,489
14353,662,627,662
14354,530,659,530
14355,62,343,62
14356,291,324,324
14357,431,509,431
14358,141,370,370
14359,605,266,605
14360,655,376,655
14361,503,320,503
14362,639,278,639
14363,150,407,150
14364,294,644,644
14365,214,678,678
14366,96,412,96
14367,56,391,391
14368,49,640,640
14369,3,710,3
14370,306,207,207
14371,319,453,319
14372,413,529,529
14373,247,55,55
14374,561,38,38
14375,314,268,314
14376,37,207,207
14377,85,261,85
14378,308,526,308
14379,283,130,130
14380,127,605,127
14381,137,271,271
14382,657,360,657
14383,667,707,707
14384,502,194,502
14385,678,418,678
14386,594,50,594
14387,502,635,635
14388,453,572,572
14389,122,322,122
14390,315,295,295
14391,461,347,461
14392,452,665,452
14393,528,187,528
14394,526,404,404
14395,583,384,384
14396,41,319,319
14397,262,155,262
14398,130,569,130
14399,541,644,644
14400,340,287,287
14401,610,692,610
14402,80,678,678
14403,387,481,481
14404,539,130,539
14405,334,525,334
14406,226,323,226
14407,308,439,308
14408,678,680,680
14409,20,386,386
14410,87,260,87
14411,454,279,454
14412,680,289,289
14413,131,475,475
14414,638,268,638
14415,413,651,651
14416,251,415,251
14417,91,121,121
14418,601,572,601
14419,340,433,340
14420,337,290,337
14421,437,416,416
14422,497,476,497
14423,649,339,649
14424,555,278,278
14425,223,599,223
14426,102,386,386
14427,479,590,479
14428,78,165,78
14429,489,29,489
14430,122,655,655
14431,262,532,262
14432,108,559,559
14433,161,670,670
14434,648,43,648
14435,311,303,311
14436,479,287,479
14437,445,620,620
14438,534,343,343
14439,541,434,434
14440,305,677,677
14441,686,530,530
14442,566,148,148
14443,695,498,695
14444,385,200,385
14445,157,505,157
14446,103,605,103
14447,127,157,157
14448,708,239,239
14449,275,313,313
14450,560,397,397
14451,672,532,672
14452,461,662,461
14453,116,376,376
14454,541,355,541
14455,9,452,452
14456,80,143,143
14457,445,211,445
14458,162,508,162
14459,535,428,428
14460,328,587,328
14461,13,59,59
14462,106,495,106
14463,592,665,665
14464,473,536,473
14465,637,527,637
14466,560,698,560
14467,442,127,127
14468,674,462,462
14469,331,703,703
14470,246,710,710
14471,300,612,612
14472,235,555,235
14473,248,585,585
14474,612,542,612
14475,676,260,676
14476,442,267,267
14477,645,175,645
14478,321,679,679
14479,49,242,49
14480,482,281,482
14481,5,127,127
14482,90,323,90
14483,237,403,237
14484,634,311,311
14485,84,719,84
14486,357,157,157
14487,263,252,252
14488,130,108,130
14489,35,560,560
14490,533,218,533
14491,560,450,560
14492,648,95,648
14493,386,700,386
14494,386,3,386
14495,156,116,156
14496,374,321,321
14497,147,598,147
14498,150,456,150
14499,595,620,620
14500,530,207,530
14501,295,661,295
14502,413,350,350
14503,212,440,212
14504,72,516,516
14505,38,21,38
14506,334,298,334
14507,395,104,395
14508,450,265,450
14509,179,337,337
14510,499,590,499
14511,695,142,142
14512,681,200,200
14513,162,407,407
14514,617,306,306
14515,214,18,18
14516,381,153,381
14517,45,641,641
14518,541,485,485
14519,231,80,231
14520,511,646,646
14521,382,72,382
14522,492,631,492
14523,662,477,662
14524,19,184,19
14525,598,449,449
14526,248,149,149
14527,587,65,65
14528,302,545,545
14529,230,639,639
14530,444,241,241
14531,612,288,612
14532,79,510,510
14533,656,565,565
14534,415,33,415
14535,94,350,94
14536,522,233,522
14537,700,229,229
14538,137,293,137
14539,121,368,121
14540,222,536,536
14541,335,475,475
14542,627,69,627
14543,261,685,685
14544,314,604,314
14545,357,695,695
14546,603,612,612
14547,13,443,13
14548,607,661,661
14549,141,562,141
14550,248,422,248
14551,354,306,354
14552,479,302,479
14553,541,479,479
14554,359,35,359
14555,494,588,494
14556,373,680,373
14557,216,698,698
14558,89,407,89
14559,519,42,42
14560,300,323,323
14561,34,106,106
14562,263,334,334
14563,353,4,4
14564,424,371,424
14565,102,381,381
14566,491,405,491
14567,475,119,475
14568,309,693,309
14569,373,523,523
14570,400,650,400
14571,314,448,448
14572,281,376,376
14573,248,514,514
14574,403,175,403
14575,286,562,286
14576,637,66,637
14577,50,185,185
14578,529,382,382
14579,711,498,711
14580,586,487,487
14581,29,191,29
14582,130,612,612
14583,708,163,163
14584,373,335,373
14585,70,280,70
14586,79,595,79
14587,203,589,589
14588,453,581,581
14589,325,477,325
14590,19,555,555
14591,577,439,439
14592,249,397,249
14593,79,105,105
14594,123,586,123
14595,160,489,489
14596,539,146,146
14597,576,710,576
14598,152,719,719
14599,499,23,23
14600,608,638,638
14601,14,265,14
14602,150,531,150
14603,531,577,531
14604,338,113,338
14605,545,11,545
14606,183,483,183
14607,449,573,573
14608,402,488,488
14609,172,679,679
14610,654,182,654
14611,453,457,457
14612,460,413,460
14613,279,214,214
14614,45,395,395
14615,386,511,386
14616,580,299,580
14617,533,540,540
14618,475,225,475
14619,8,574,8
14620,115,562,562
14621,414,390,414
14622,497,603,497
14623,627,85,85
14624,181,103,103
14625,58,24,24
14626,683,377,377
14627,66,54,54
14628,303,584,584
14629,122,314,122
14630,406,166,166
14631,42,19,42
14632,631,115,115
14633,6,542,6
14634,686,149,149
14635,264,649,264
14636,226,284,226
14637,306,178,306
14638,532,493,493
14639,10,24,24
14640,212,302,212
14641,258,134,134
14642,642,176,642
14643,661,156,156
14644,494,489,494
14645,381,470,381
14646,671,644,671
14647,92,139,92
14648,700,674,700
14649,506,371,506
14650,219,524,219
14651,398,435,398
14652,259,119,119
14653,666,142,142
14654,7,211,211
14655,62,619,62
14656,162,386,386
14657,64,123,123
14658,705,262,262
14659,239,592,592
14660,449,647,647
14661,186,55,55
14662,479,385,385
14663,364,681,681
14664,520,391,391
14665,124,37,124
14666,382,150,150
14667,156,519,156
14668,492,569,492
14669,255,142,142
